         gisjoin           tract_id City State stateabbr statedesc countyname placename                  placefips place_tractid
nbr.val       NA  1.58820000000e+04   NA    NA        NA        NA         NA        NA         15058.000000000000            NA
nbr.null      NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA             0.000000000000            NA
nbr.na        NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA           824.000000000000            NA
min           NA 5.30132487394e-315   NA    NA        NA        NA         NA        NA         15003.000000000000            NA
max           NA 2.72127342952e-313   NA    NA        NA        NA         NA        NA       5553000.000000000000            NA
range         NA 2.66826018078e-313   NA    NA        NA        NA         NA        NA       5537997.000000000000            NA
sum           NA 2.18031061219e-309   NA    NA        NA        NA         NA        NA   42233039762.000000000000            NA
median        NA 1.58115846524e-313   NA    NA        NA        NA         NA        NA       3260600.000000000000            NA
mean          NA 1.37281867029e-313   NA    NA        NA        NA         NA        NA       2804691.178244122770            NA
SE.mean       NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA         13228.471679999062            NA
CI.mean       NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA         25929.412409634813            NA
var           NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA 2635036507681.393554687500            NA
std.dev       NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA       1623279.553152011242            NA
coef.var      NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA             0.578773009215            NA
                   access2015        arthritis2015            binge2015          bphigh2015             bpmed2015          cancer2015
mean         2.81433124944166     27.9386439070092     13.070487453922     30.0796320882036     13.191612436693     38.1554124089633
SE.mean      0.00706044116567      0.0718383995164      0.029258369707      0.0691482428291      0.037603053278      0.0547503067754
CI.mean      0.01383932287925      0.1408119949885      0.057349960972      0.1355389608935      0.073706555065      0.1073172561634
var          0.75063873191579     77.7106585035949     12.890433996171     71.9995181054161     21.291855635185     45.1378019532750
std.dev      0.86639409734588      8.8153649104047      3.590325054389      8.4852529782804      4.614309876372      6.7184672324329
coef.var     0.30785078960331      0.3155258694640      0.274689453400      0.2820929775138      0.349791194861      0.1760816305803
                  stroke2015           access2016        arthritis2016            binge2016           bphigh2016             bpmed2016
nbr.val  15058.0000000000000  15566.0000000000000  15566.0000000000000  15566.0000000000000  15566.0000000000000   15566.0000000000000
nbr.null     0.0000000000000      0.0000000000000      0.0000000000000      0.0000000000000      0.0000000000000       0.0000000000000
nbr.na     824.0000000000000    316.0000000000000    316.0000000000000    316.0000000000000    316.0000000000000     316.0000000000000
min          0.3000000119209      2.7000000476837      2.0000000000000      2.7000000476837      5.6999998092651      11.5000000000000
max         21.2999992370606     58.5000000000000     55.5000000000000     44.7999992370606     71.0000000000000      93.1999969482422
range       20.9999992251397     55.7999999523163     53.5000000000000     42.0999991893769     65.3000001907349      81.6999969482422
sum      49582.5999743044376 264930.5998990536318 341338.9999020100804 278352.2000751495943 479224.7998123171274 1124236.1001310348511
median       2.9000000953674     14.8999996185303     21.5000000000000     17.2999992370605     29.3999996185303      73.0999984741211
mean         3.2927746031548     17.0198252536974     21.9284980021849     17.8820634764968     30.7866375313065      72.2238275813334
SE.mean      0.0134272682976      0.0769884542073      0.0501701275037      0.0361433759832      0.0695463546105       0.0600271294506
CI.mean      0.0263190779439      0.1509063322265      0.0983392900516      0.0708452242621      0.1363189507056       0.1176601612895
var          2.7148299180229     92.2631389165165     39.1802710047474     20.3345449051160     75.2880012129239      56.0882870999636
std.dev      1.6476740933883      9.6053703164697      6.2594145896200      4.5093840937667      8.6768658634857       7.4892113803767
coef.var     0.5003907925582      0.5643636273165      0.2854465722639      0.2521735872202      0.2818386988401       0.1036944680333
                  cancer2016          casthma2016             chd2016           checkup2016        cholscreen2016            colon2016
nbr.val  15566.0000000000000  15566.0000000000000 15566.0000000000000   15566.0000000000000   15566.0000000000000  15561.0000000000000
nbr.null     0.0000000000000      0.0000000000000     0.0000000000000       0.0000000000000       0.0000000000000      0.0000000000000
nbr.na     316.0000000000000    316.0000000000000   316.0000000000000     316.0000000000000     316.0000000000000    321.0000000000000
min          0.6000000238419      5.4000000953674     0.5000000000000      47.2000007629395      29.3999996185303     29.3999996185303
max         20.7000007629395     19.1000003814697    34.4000015258789      89.5999984741211      94.4000015258789     81.5999984741211
range       20.1000007390976     13.7000002861023    33.9000015258789      42.3999977111816      65.0000019073486     52.1999988555908
sum      82114.2000022530556 154232.0001568794250 90042.5000399947166 1086373.7997817993164 1123412.7999897003174 946747.3998851778451
median       5.0999999046326      9.5000000000000     5.5999999046326      69.5999984741211      72.8000030517578     61.5999984741211
mean         5.2752280613037      9.9082616058640     5.7845625105997      69.7914557228446      72.1709366561545     60.8410384862912
SE.mean      0.0129158272882      0.0159229020420     0.0165218789057       0.0514560866649       0.0653068891235      0.0721468753523
CI.mean      0.0253165249751      0.0312107415366     0.0323848059143       0.1008599197020       0.1280091048485      0.1414162776117
var          2.5966982425842      3.9465851077476     4.2490896637440      41.2145473549007      66.3888307129551     80.9976756269821
std.dev      1.6114273928987      1.9866013962916     2.0613320120116       6.4198557113771       8.1479341377404      8.9998708672393
coef.var     0.3054706591207      0.2004994897506     0.3563505465166       0.0919862703090       0.1128977191547      0.1479243466442
                    copd2016            corem2016            corew2016         csmoking2016          dental2016         diabetes2016
nbr.val  15566.0000000000000  15519.0000000000000  15513.0000000000000  15566.0000000000000  15566.000000000000  15566.0000000000000
nbr.null     0.0000000000000      0.0000000000000      0.0000000000000      0.0000000000000      0.000000000000      0.0000000000000
